date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-06,3835,3835,3835,0,0,0,3835,3835,3835
2021-01-07,10221,10221,10221,0,0,0,10221,10221,10221
2021-01-08,17996,17996,17996,0,0,0,17996,17996,17996
2021-01-09,25760,25760,25760,0,0,0,25760,25760,25760
2021-01-10,33753,33753,33753,0,0,0,33753,33753,33753
2021-01-11,43344,43344,43344,0,0,0,43344,43344,43344
2021-01-12,50390,50390,50390,0,0,0,50390,50390,50390
2021-01-13,56048,56048,56048,0,0,0,56048,56048,56048
2021-01-14,61703,61703,61703,0,0,0,61703,61703,61703
2021-01-15,67128,67128,67128,0,0,0,67128,67128,67128
2021-01-16,72091,72091,72091,0,0,0,72091,72091,72091
2021-01-17,77054,77054,77054,0,0,0,77054,77054,77054
2021-01-18,92699,92699,92699,0,0,0,92699,92699,92699
2021-01-19,108344,108344,108344,0,0,0,108344,108344,108344
2021-01-20,123988,123988,123988,0,0,0,123988,123988,123988
2021-01-21,139629,139629,139629,0,0,0,139629,139629,139629
2021-01-22,156121,156121,156121,0,0,0,156121,156121,156121
2021-01-23,169149,169149,169149,0,0,0,169149,169149,169149
2021-01-24,182176,182176,182176,0,0,0,182176,182176,182176
2021-01-25,196531,200366,198448,0,0,0,192696,200366,196531
2021-01-26,211809,222030,216920,0,10221,5110,201588,222030,211809
2021-01-27,232570,250566,241568,0,17996,8998,214574,250566,232570
2021-01-28,257282,283042,270162,0,25760,12880,231522,283042,257282
2021-01-29,285904,319657,302780,0,33753,16876,252151,319657,285904
2021-01-30,286054,324082,305068,0,38028,19014,248026,324082,286054
2021-01-31,301800,348355,325078,3835,50390,27112,251410,344520,297965
2021-02-01,330602,376429,353516,10221,56048,33134,274554,366208,320381
2021-02-02,359570,403277,381424,17996,61703,39850,297867,385281,341574
2021-02-03,386953,428321,407637,25760,67128,46444,319825,402561,361193
2021-02-04,416582,454920,435751,33753,72091,52922,344491,421167,382829
2021-02-05,444894,478604,461749,43344,77054,60199,367840,435260,401550
2021-02-06,457424,499285,478354,50390,92251,71320,365173,448895,407034
2021-02-07,465875,517275,491575,56048,107448,81748,358427,461227,409827
2021-02-08,499007,544752,521880,61703,107448,84576,391559,483049,437304
2021-02-09,531291,571611,551451,67128,107448,87288,423843,504483,464163
2021-02-10,548064,598617,573340,72091,122644,97368,425420,526526,475973
2021-02-11,564801,625584,595192,77054,137837,107446,426964,548530,487747
2021-02-12,580711,642316,611514,92251,153856,123054,426855,550065,488460
2021-02-13,596067,655578,625822,107448,166959,137204,429108,548130,488619
2021-02-14,611420,684033,647726,107448,180061,143754,431359,576585,503972
2021-02-15,628839,715638,672238,107448,194247,150848,434592,608190,521391
2021-02-16,645452,747242,696347,107448,209238,158343,436214,639794,538004
2021-02-17,660557,782612,721584,107448,229503,168476,431054,675164,553109
2021-02-18,673291,819329,746310,107448,253486,180467,419805,711881,565843
2021-02-19,686131,858337,772234,107448,279654,193551,406477,750889,578683
2021-02-20,722007,881218,801612,122644,281855,202250,440152,758574,599363
2021-02-21,744553,904098,824326,137837,297382,217610,447171,766261,606716
2021-02-22,758079,925859,841969,153856,321636,237746,436443,772003,604223
2021-02-23,773730,956421,865076,166959,349650,258304,424080,789462,606771
2021-02-24,791886,993880,892883,180061,382055,281058,409831,813819,611825
2021-02-25,815406,1029258,922332,198082,411934,305008,403472,831176,617324
2021-02-26,872352,1065781,969066,219459,412888,316174,459464,846322,652893
2021-02-27,924318,1090640,1007479,247499,413821,330660,510497,843141,676819
2021-02-28,972412,1109079,1040746,278091,414758,346424,557654,830988,694321
2021-03-01,1016805,1123118,1069962,309333,415646,362490,601159,813785,707472
2021-03-02,1062260,1158959,1110610,319883,416582,368232,645678,839076,742377
2021-03-03,1106007,1179553,1142780,343937,417483,380710,688524,835616,762070
2021-03-04,1149350,1195536,1172443,372047,418233,395140,731117,823489,777303
2021-03-05,1163659,1210883,1187271,399060,446284,422672,717375,811823,764599
2021-03-06,1189296,1223866,1206581,424459,459029,441744,730267,799407,764837
2021-03-07,1214930,1234660,1224795,448050,467780,457915,747150,786610,766880
2021-03-08,1231352,1272579,1251966,451226,492453,471840,738899,821353,780126
2021-03-09,1248049,1313389,1280719,452159,517499,484829,730550,861230,795890
2021-03-10,1273427,1354249,1313838,453096,533918,493507,739509,901153,820331
2021-03-11,1314785,1395100,1354942,453984,534299,494142,780486,941116,860801
2021-03-12,1353956,1433715,1393836,454920,534679,494800,819277,978795,899036
2021-03-13,1391936,1472360,1432148,455821,536245,496033,855691,1016539,936115
2021-03-14,1429892,1511132,1470512,456571,537811,497191,892081,1054561,973321
2021-03-15,1442771,1540914,1491842,457211,555354,506282,887417,1083703,985560
2021-03-16,1455700,1570572,1513136,458176,573048,515612,882652,1112396,997524
2021-03-17,1469532,1577694,1523613,481899,590061,535980,879471,1095795,987633
2021-03-18,1483552,1587565,1535558,502761,606774,554768,876778,1084804,980791
2021-03-19,1497356,1599682,1548519,521041,623367,572204,873989,1078641,976315
2021-03-20,1526599,1602715,1564657,548400,624516,586458,902083,1054315,978199
2021-03-21,1555643,1606438,1581040,575067,625862,600464,929781,1031371,980576
2021-03-22,1584397,1619537,1601967,592314,627454,609884,956943,1027223,992083
2021-03-23,1608370,1633117,1620744,612713,637460,625086,970910,1020404,995657
2021-03-24,1645727,1652217,1648972,639618,646108,642863,999619,1012599,1006109
2021-03-25,1675565,1686039,1680802,651738,662212,656975,1013353,1034301,1023827
2021-03-26,1695127,1731278,1713202,654220,690371,672296,1004756,1077058,1040907
2021-03-27,1737609,1776040,1756824,656162,694593,675378,1043016,1119878,1081447
2021-03-28,1781883,1797183,1789533,681720,697020,689370,1084863,1115463,1100163
2021-03-29,1842343,1847797,1845070,693993,699447,696720,1142896,1153804,1148350
2021-03-30,1886111,1912578,1899344,695998,722465,709232,1163646,1216580,1190113
2021-03-31,1935677,1983036,1959356,698005,745364,721684,1190313,1285031,1237672
2021-04-01,1982193,2053895,2018044,699438,771140,735289,1211053,1354457,1282755
2021-04-02,2029877,2124014,2076946,703829,797966,750898,1231911,1420185,1326048
2021-04-03,2051751,2140316,2096034,737994,826559,782276,1225192,1402322,1313757
2021-04-04,2088143,2156001,2122072,771177,839035,805106,1249108,1384824,1316966
2021-04-05,2130048,2179822,2154935,801620,851394,826507,1278654,1378202,1328428
2021-04-06,2202312,2222416,2212364,841013,861117,851065,1341195,1381403,1361299
2021-04-07,2278734,2281521,2280128,874869,877656,876262,1401078,1406652,1403865
2021-04-08,2351030,2359162,2355096,898219,906351,902285,1444679,1460943,1452811
2021-04-09,2426107,2448217,2437162,915343,937453,926398,1488654,1532874,1510764
2021-04-10,2524677,2533016,2528846,931644,939983,935814,1584694,1601372,1593033
2021-04-11,2609295,2626726,2618010,937835,955266,946550,1654029,1688891,1671460
2021-04-12,2711056,2742889,2726972,939834,971667,955750,1739389,1803055,1771222
2021-04-13,2828047,2859185,2843616,941592,972730,957161,1855317,1917593,1886455
2021-04-14,2944542,2953315,2948928,965107,973880,969494,1970662,1988208,1979435
2021-04-15,3048983,3059167,3054075,974047,984231,979139,2064752,2085120,2074936
2021-04-16,3135393,3166400,3150896,978833,1009840,994336,2125553,2187567,2156560
2021-04-17,3217589,3269359,3243474,983474,1035244,1009359,2182345,2285885,2234115
2021-04-18,3298366,3371061,3334714,987194,1059889,1023542,2238477,2383867,2311172
2021-04-19,3378338,3476002,3427170,990500,1088164,1039332,2291622,2486950,2389286
2021-04-20,3463479,3553562,3508520,1014169,1104252,1059210,2360620,2540786,2450703
2021-04-21,3536965,3617856,3577410,1040033,1120924,1080478,2417284,2579066,2498175
2021-04-22,3602173,3674423,3638298,1066104,1138354,1102229,2464958,2609458,2537208
2021-04-23,3666675,3730168,3698422,1092228,1155721,1123974,2512080,2639066,2575573
2021-04-24,3731799,3787179,3759489,1117069,1172449,1144759,2560475,2671235,2615855
2021-04-25,3781694,3843974,3812834,1141904,1204184,1173044,2578632,2703192,2640912
2021-04-26,3840765,3909854,3875310,1171201,1240290,1205746,2605969,2744147,2675058
2021-04-27,3897761,3965095,3931428,1202155,1269489,1235822,2633752,2768420,2701086
2021-04-28,3958195,4019003,3988599,1232505,1293313,1262909,2670252,2791868,2731060
2021-04-29,4015255,4090456,4052856,1250926,1326127,1288526,2694802,2845204,2770003
2021-04-30,4068539,4158660,4113600,1271569,1361690,1316630,2712499,2892741,2802620
2021-05-01,4128014,4231188,4179601,1296144,1399318,1347731,2734809,2941157,2837983
2021-05-02,4177567,4303358,4240462,1310727,1436518,1373622,2746631,2998213,2872422
2021-05-03,4263812,4388072,4325942,1327716,1451976,1389846,2818015,3066535,2942275
2021-05-04,4313665,4470798,4392232,1341293,1498426,1419860,2821188,3135454,2978321
2021-05-05,4366172,4570605,4468388,1356780,1561213,1458996,2811923,3220789,3016356
2021-05-06,4412419,4667217,4539818,1373819,1628617,1501218,2790787,3300383,3045585
2021-05-07,4460628,4760672,4610650,1397047,1697091,1547069,2770690,3370778,3070734
2021-05-08,4507975,4854597,4681286,1417802,1764424,1591113,2750613,3443857,3097235
2021-05-09,4595851,4920477,4758164,1460301,1784927,1622614,2817631,3466883,3142257
2021-05-10,4695913,4993806,4844860,1503572,1801465,1652518,2898205,3493991,3196098
2021-05-11,4811949,5065999,4938974,1562004,1816054,1689029,2999887,3507987,3253937
2021-05-12,4939207,5174273,5056740,1602468,1837534,1720001,3106202,3576334,3341268
2021-05-13,5051905,5277567,5164736,1642183,1867845,1755014,3188454,3639778,3414116
2021-05-14,5150263,5374134,5262198,1680118,1903989,1792054,3250415,3698157,3474286
2021-05-15,5255185,5478596,5366890,1719183,1942594,1830888,3316978,3763800,3540389
2021-05-16,5327558,5592058,5459808,1740653,2005153,1872903,3326558,3855558,3591058
2021-05-17,5428305,5703608,5565956,1775569,2050872,1913220,3380128,3930734,3655431
2021-05-18,5510586,5821725,5666156,1806611,2117750,1962180,3395527,4017805,3706666
2021-05-19,5571404,5917629,5744516,1854107,2200332,2027220,3373663,4066113,3719888
2021-05-20,5627692,6004571,5816132,1906185,2283064,2094624,3347139,4100897,3724018
2021-05-21,5687869,6090977,5889423,1958438,2361546,2159992,3328825,4135041,3731933
2021-05-22,5763941,6170004,5966972,2016443,2422506,2219474,3343908,4156034,3749971
2021-05-23,5838672,6248049,6043360,2072326,2481703,2277014,3359387,4178141,3768764
2021-05-24,5872315,6269364,6070840,2132344,2529393,2330868,3344296,4138394,3741345
2021-05-25,5899087,6284031,6091559,2217302,2602246,2409774,3298473,4068361,3683417
2021-05-26,6001806,6390682,6196244,2307983,2696859,2502421,3308146,4085898,3697022
2021-05-27,6053841,6469617,6261729,2355686,2771462,2563574,3284500,4116052,3700276
2021-05-28,6152567,6563446,6358006,2417379,2828258,2622818,3326857,4148615,3737736
2021-05-29,6254337,6655065,6454701,2481216,2881944,2681580,3374953,4176409,3775681
2021-05-30,6348032,6741850,6544941,2542364,2936182,2739273,3414291,4201927,3808109
2021-05-31,6467844,6839050,6653447,2619337,2990543,2804940,3495754,4238166,3866960
2021-06-01,6556529,6904154,6730342,2704614,3052239,2878426,3523591,4218841,3871216
2021-06-02,6634971,6994496,6814734,2763086,3122611,2942848,3531675,4250725,3891200
2021-06-03,6711617,7092628,6902122,2821648,3202659,3012154,3529088,4291110,3910099
2021-06-04,6786253,7189300,6987776,2872407,3275454,3073930,3530142,4336236,3933189
